"agency","total_employees","enforcement_employees","penalties_dollars","penalties_number"
"AG-DEPARTMENT OF AGRICULTURE",87062.7727272727,1314.86363636364,122000,2
"Agricultural Marketing Service",4623,2875.04545454545,2426278,65
"Alcohol and Tobacco Tax and Trade Bureau",495.631578947368,207.842105263158,99863549,310
"Bureau of Consumer Financial Protection",1373.18181818182,6,14369834693,232
"Bureau of Industry and Security",364.25,144.3,2578184761,615
"Bureau of Safety and Environmental Enforcement",791.7,127.8,45841404,729
"Centers for Medicare & Medicaid Services",5323.14285714286,39.6190476190476,485460524,11720
"Commodity Futures Trading Commission",613.681818181818,65.5454545454545,16073110822,752
"Consumer Product Safety Commission",495.5,151.954545454545,360750500,198
"DN-DEPARTMENT OF ENERGY",14590.5909090909,579.318181818182,70992959,375
"Drug Enforcement Administration",9186.59090909091,5553.77272727273,413919465,27
"ED-DEPARTMENT OF EDUCATION",4352,96.4090909090909,43212750,70
"Employee Benefits Security Administration",911.105263157895,518.315789473684,764387721,3675
"Environmental Protection Agency",17177.4545454545,287.909090909091,64520699791,20101
"Equal Employment Opportunity Commission",2321.95454545455,964.318181818182,1653806777,2374
"Federal Aviation Administration",46901.2272727273,1087.09090909091,603315944,7295
"Federal Communications Commission",1757.13636363636,10.2727272727273,4020723431,517
"Federal Deposit Insurance Corporation",6194.45454545455,46.9090909090909,778026489,684
"Federal Election Commission",344.5,3,2611778,37
"Federal Energy Regulatory Commission",1461.90909090909,4,2173518376,164
"Federal Housing Finance Agency",583.846153846154,2.84615384615385,40518500000,21
"Federal Maritime Commission",121.5,1.09090909090909,29082750,255
"Federal Motor Carrier Safety Administration",1076.38095238095,547.904761904762,396113367,29921
"Federal Railroad Administration",843.545454545455,0.227272727272727,166884966,16477
"Federal Reserve",NA,NA,6893775548,171
"Federal Trade Commission",1119.36363636364,56.2727272727273,15400468172,555
"Financial Crimes Enforcement Network",289.210526315789,24.8947368421053,1462242314,53
"Financial Industry Regulatory Authority",NA,NA,1431900318,737
"Food Safety and Inspection Service",9750.90909090909,7285.59090909091,3175621,19
"Food and Drug Administration",14843.4545454545,285.772727272727,19512069130,59
"Grain Inspection, Packers and Stockyards Administration",770.333333333333,444.333333333333,10926073,300
"HE13-OFFICE OF INSPECTOR GENERAL",1605.375,555,357424614,904
"Health and Human Services Department Office for Civil Rights",NA,NA,134420090,127
"Housing and Urban Development",41.5909090909091,0,360221736,113
"Interior Department Office of Natural Resources Revenue",NA,NA,87528909,194
"Internal Revenue Service",87083.7727272727,3288.86363636364,5900800000,7
"International Trade Commission",393.363636363636,0,18902500,5
"Mine Safety and Health Administration",2170.86363636364,1464.45454545455,637631974,31330
"National Credit Union Administration",1061.86363636364,1.36363636363636,1636450000,12
"National Highway Traffic Safety Administration",605.590909090909,13.1363636363636,3781559823,171
"National Labor Relations Board",1677.18181818182,2.54545454545455,1668769430,13835
"National Oceanic and Atmospheric Administration",12144.9090909091,192.409090909091,27636000,11
"Nuclear Regulatory Commission",3460.68181818182,49.6818181818182,40636563,172
"Occupational Safety and Health Administration",2108.40909090909,170.409090909091,3096790777,209605
"Office of Federal Contract Compliance Programs",582.909090909091,0,230259271,504
"Office of Foreign Assets Control",NA,NA,2013565397,540
"Office of Workers' Compensation Programs",1498.09090909091,0.818181818181818,75000,1
"Office of the Comptroller of the Currency",3355.77272727273,0,14137678233,205
"Pipeline and Hazardous Materials Safety Administration",454.411764705882,52.1764705882353,172020090,652
"Public Company Accounting Oversight Board",NA,NA,39077500,154
"Securities and Exchange Commission",3905.59090909091,37.4545454545455,37040649310,2642
"State Department Directorate of Defense Trade Controls",NA,NA,530490000,52
"Transportation Department Aviation Consumer Protection Division",NA,NA,81672500,575
"U.S. Coast Guard",7890.63636363636,442.909090909091,241222620,52
"U.S. Fish and Wildlife Service",9296.68181818182,455.636363636364,6075000,7
"Wage and Hour Division",1689.72727272727,1420,3733105415,81180
